name,index,cpu_avg_pct,mem_avg_pct,timestamp
SG2-新加坡西9,8,0,5,2026-09-20 05:26:10
AU-悉尼,23,0,6,2026-09-20 05:26:10
SG2-新加坡西10,9,0,6,2026-09-20 05:26:10
SG2-新加坡西5,4,0,6,2026-09-20 05:26:10
SG2-新加坡西6,6,0,6,2026-09-20 05:26:10
US-凤凰城3,13,0,6,2026-09-20 05:26:10
AU-墨尔本,24,0,7,2026-09-20 05:26:10
KR-首尔2,16,0,7,2026-09-20 05:26:10
SG2-新加坡西1,2,0,7,2026-09-20 05:26:10
SG2-新加坡西11,10,0,7,2026-09-20 05:26:10
SG2-新加坡西4,5,0,7,2026-09-20 05:26:10
ID-巴淡岛4,19,0,8,2026-09-20 05:26:10
JP-东京1,14,0,8,2026-09-20 05:26:10
ID-巴淡岛1,17,0,9,2026-09-20 05:26:10
SG2-新加坡西7,7,0,11,2026-09-20 05:26:10
DU-迪拜,27,0,12,2026-09-20 05:26:10
ES-马德里3-6,26,0,12,2026-09-20 05:26:10
SG1-新加坡3,1,0,15,2026-09-20 05:26:10
JBP-马来西亚1,20,0,18,2026-09-20 05:26:10
US-凤凰城2,12,0,26,2026-09-20 05:26:10
US-凤凰城1,11,0,33,2026-09-20 05:26:10
ES-马德里3-4,25,1,10,2026-09-20 05:26:10
ID-巴淡岛2,18,1,11,2026-09-20 05:26:10
SG1-新加坡1,0,1,20,2026-09-20 05:26:10
KR-首尔1,15,2,25,2026-09-20 05:26:10
SG2-新加坡西3,3,4,24,2026-09-20 05:26:10
JBP-马来西亚2,21,8,27,2026-09-20 05:26:10
JBP-马来西亚3,22,9,28,2026-09-20 05:26:10
